Wall time,Step,Value
1680904304.9978793,869,1.0000000116860974e-07
1680904552.790986,870,1.0000000116860974e-07
1680904802.0487242,871,1.0000000116860974e-07
1680905545.5713553,874,1.0000000116860974e-07
1680905793.4506977,875,1.0000000116860974e-07
1680906041.2041893,876,1.0000000116860974e-07
1680906288.8753417,877,1.0000000116860974e-07
1680906536.6373546,878,1.0000000116860974e-07
1680907032.1007178,880,1.0000000116860974e-07
1680907279.7361884,881,1.0000000116860974e-07
1680907527.4369938,882,1.0000000116860974e-07
1680907775.1388037,883,1.0000000116860974e-07
1680908270.4846067,885,1.0000000116860974e-07
1680908765.780271,887,1.0000000116860974e-07
1680909013.6861336,888,1.0000000116860974e-07
1680909261.4224615,889,1.0000000116860974e-07
1680909509.2095788,890,1.0000000116860974e-07
1680909756.89025,891,1.0000000116860974e-07
1680910252.371713,893,1.0000000116860974e-07
1680910499.941849,894,1.0000000116860974e-07
1680910747.5339887,895,1.0000000116860974e-07
1680911242.593559,897,1.0000000116860974e-07
1680911490.040991,898,1.0000000116860974e-07
1680911985.001687,900,1.0000000116860974e-07
1680912233.3189788,901,1.0000000116860974e-07
1680913222.6558907,905,1.0000000116860974e-07
1680913469.838636,906,1.0000000116860974e-07
1680913964.4256506,908,1.0000000116860974e-07
1680914211.7949486,909,1.0000000116860974e-07
1680914459.0483847,910,1.0000000116860974e-07
1680914706.2516625,911,1.0000000116860974e-07
1680914953.5251362,912,1.0000000116860974e-07
1680915200.832237,913,1.0000000116860974e-07
1680915448.1526883,914,1.0000000116860974e-07
1680915942.7850018,916,1.0000000116860974e-07
1680916190.0713582,917,1.0000000116860974e-07
1680916437.4406228,918,1.0000000116860974e-07
1680917179.3134458,921,1.0000000116860974e-07
1680917426.688362,922,1.0000000116860974e-07
1680917674.1115382,923,1.0000000116860974e-07
1680917921.2801151,924,1.0000000116860974e-07
1680918416.0453694,926,1.0000000116860974e-07
1680919899.543951,932,1.0000000116860974e-07
1680920146.9630013,933,1.0000000116860974e-07
1680920394.3073516,934,1.0000000116860974e-07
1680920888.8411977,936,1.0000000116860974e-07
1680921877.843042,940,1.0000000116860974e-07
1680922619.626819,943,1.0000000116860974e-07
1680923361.5626988,946,1.0000000116860974e-07
1680924103.3396838,949,1.0000000116860974e-07
1680924350.7487872,950,1.0000000116860974e-07
1680924846.649093,952,1.0000000116860974e-07
1680925093.9557452,953,1.0000000116860974e-07
1680925341.3998442,954,1.0000000116860974e-07
1680925588.7259185,955,1.0000000116860974e-07
1680926083.4606857,957,1.0000000116860974e-07
1680926330.848278,958,1.0000000116860974e-07
1680926578.1554928,959,1.0000000116860974e-07
1680926825.5886037,960,1.0000000116860974e-07
1680927073.2911632,961,1.0000000116860974e-07
1680927320.8551111,962,1.0000000116860974e-07
1680927568.173643,963,1.0000000116860974e-07
1680927815.625869,964,1.0000000116860974e-07
1680928062.9440777,965,1.0000000116860974e-07
1680928557.6755788,967,1.0000000116860974e-07
1680928805.074627,968,1.0000000116860974e-07
1680929299.576171,970,1.0000000116860974e-07
1680929794.2729535,972,1.0000000116860974e-07
1680930041.6420345,973,1.0000000116860974e-07
1680930536.317378,975,1.0000000116860974e-07
1680931031.1843631,977,1.0000000116860974e-07
1680931278.545687,978,1.0000000116860974e-07
1680931525.9203231,979,1.0000000116860974e-07
1680931773.3847845,980,1.0000000116860974e-07
1680932515.5174515,983,1.0000000116860974e-07
1680932762.9739704,984,1.0000000116860974e-07
1680933010.4822974,985,1.0000000116860974e-07
1680933257.80466,986,1.0000000116860974e-07
1680933752.7950466,988,1.0000000116860974e-07
1680934000.2369022,989,1.0000000116860974e-07
1680934495.256059,991,1.0000000116860974e-07
1680935979.6007032,997,1.0000000116860974e-07
1680936226.9239833,998,1.0000000116860974e-07
1680936721.855385,1000,1.0000000116860974e-07
1680936969.9839237,1001,1.0000000116860974e-07
1680937464.6931033,1003,1.0000000116860974e-07
1680937711.876545,1004,1.0000000116860974e-07
1680937959.501205,1005,1.0000000116860974e-07
1680938206.9666119,1006,1.0000000116860974e-07
1680938701.539229,1008,1.0000000116860974e-07
1680938948.9034622,1009,1.0000000116860974e-07
1680939196.212767,1010,1.0000000116860974e-07
1680939690.9940853,1012,1.0000000116860974e-07
1680939938.377177,1013,1.0000000116860974e-07
1680940185.7339323,1014,1.0000000116860974e-07
1680940433.2879152,1015,1.0000000116860974e-07
1680941175.192602,1018,1.0000000116860974e-07
1680941669.8513618,1020,1.0000000116860974e-07
1680942906.2244449,1025,1.0000000116860974e-07
1680943153.6208305,1026,1.0000000116860974e-07
1680943400.9739623,1027,1.0000000116860974e-07
1680943648.2370014,1028,1.0000000116860974e-07
1680944142.798037,1030,1.0000000116860974e-07
1680944637.1387155,1032,1.0000000116860974e-07
